VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
48,34,11,2,4,16293.4,23403.5,0.15,4,4.14095
48,35,11,10,6,8289.82,4908.83,0.15,4,13.32
48,36,11,12,3,15462.8,25900.2,0.15,4,3.05717
48,37,12,11,3,15942.1,25900.2,0.15,4,3.06459
48,38,12,23,4,11223,5091.26,0.15,4,18.1675
48,39,13,10,4,10070.6,4876.51,0.15,4,14.9126
48,40,13,14,5,9364.42,5127.53,0.15,4,13.3436
48,41,13,22,4,8619.07,4924.79,0.15,4,9.62915
48,42,14,9,6,23972,13512,0.15,4,14.9163
48,43,14,13,5,8793.37,5127.53,0.15,4,11.4871
48,44,14,18,3,21038.8,14564.8,0.15,4,4.95924
48,45,14,21,3,18622.8,9599.18,0.15,4,9.3746
48,46,15,7,5,9120.92,5045.82,0.15,4,13.0073
48,47,15,9,4,12179.1,4854.92,0.15,4,27.7624
48,48,15,16,2,4.73024e-06,1e-06,0.15,4,152.194
48,49,15,17,3,24301.3,19679.9,0.15,4,4.04626
48,50,16,9,8,7626.35,4993.51,0.15,4,14.5287
48,51,16,15,2,8325.99,5229.91,0.15,4,3.92702
48,52,16,18,2,8119.38,4823.95,0.15,4,4.4077
48,53,17,6,2,17945.2,23403.5,0.15,4,2.1037
48,54,17,15,3,17760.9,19679.9,0.15,4,3.29852
48,55,17,19,4,28607.3,23403.5,0.15,4,5.33948
48,56,18,14,3,17727.8,14564.8,0.15,4,3.98769
48,57,18,16,2,14031.6,4823.95,0.15,4,23.4754
48,58,18,19,4,9648.36,5002.61,0.15,4,12.3019
48,59,19,17,4,22265.5,23403.5,0.15,4,4.49154
48,60,19,18,4,12249.6,5002.61,0.15,4,25.5699
48,61,19,20,6,9265.71,5059.91,0.15,4,16.1201
48,62,19,21,5,9823.35,5075.7,0.15,4,15.5224
48,63,20,19,6,7056.12,5059.91,0.15,4,9.40357
48,64,20,21,2,11325.9,5229.91,0.15,4,8.59824
48,65,20,23,3,9958.27,4885.36,0.15,4,10.769
48,66,21,14,3,21228.7,9599.18,0.15,4,13.7638
48,67,21,19,5,8192.4,5075.7,0.15,4,10.0901
48,68,21,20,2,9715.66,5229.91,0.15,4,5.573
48,69,21,22,4,9834.78,5000,0.15,4,12.9811
48,70,22,13,4,9374.4,4924.79,0.15,4,11.8772
48,71,22,21,4,9199.55,5000,0.15,4,10.876
48,72,22,23,2,9258.89,5078.51,0.15,4,5.31445
48,73,23,12,4,11602.3,5091.26,0.15,4,20.182
48,74,23,20,3,9358.88,4885.36,0.15,4,9.0607
48,75,23,22,2,9378.98,5078.51,0.15,4,5.48978
