RecoverCase,VulLink,ID,Tail,Head,T0,Flow,Cap,Alpha,Beta,Cost
-1,-1,57,18,16,2,3218.65,4823.95,0.15,4,2.05946
-1,-1,58,18,19,4,5065.93,5002.61,0.15,4,4.63096
-1,-1,59,19,17,4,26264.9,23403.5,0.15,4,4.95177
-1,-1,60,19,18,4,12892.6,5002.61,0.15,4,30.468
-1,-1,61,19,20,6,7871.15,5059.91,0.15,4,11.2701
-1,-1,62,19,21,5,7902.64,5075.7,0.15,4,9.40725
-1,-1,63,20,19,6,12642.9,5059.91,0.15,4,41.0794
-1,-1,64,20,21,2,4486.67,5229.91,0.15,4,2.1625
-1,-1,65,20,23,3,12706.7,4885.36,0.15,4,23.5946
-1,-1,66,21,14,3,3.74869e-10,1e-10,0.15,4,91.8648
-1,-1,67,21,19,5,14154.9,5075.7,0.15,4,50.3637
-1,-1,68,21,20,2,11919.9,5229.91,0.15,4,10.0954
-1,-1,69,21,22,4,12709.9,5000,0.15,4,29.0516
-1,-1,70,22,13,4,13467.9,4924.79,0.15,4,37.5583
-1,-1,71,22,21,4,7303.03,5000,0.15,4,6.73077
-1,-1,72,22,23,2,9105.34,5078.51,0.15,4,5.1
-1,-1,73,23,12,4,13973.9,5091.26,0.15,4,38.0505
-1,-1,74,23,20,3,10045.1,4885.36,0.15,4,11.0436
-1,-1,75,23,22,2,10202.9,5078.51,0.15,4,6.88731
0,22,0,0,1,6,13234.8,25900.2,0.15,4,6.06136
0,22,1,0,2,4,9707.12,23403.5,0.15,4,4.01776
0,22,2,1,0,6,6800.18,25900.2,0.15,4,6.00428
0,22,3,1,5,5,12570.2,4958.18,0.15,4,35.9838
0,22,4,2,0,4,16141.7,23403.5,0.15,4,4.13578
0,22,5,2,3,4,14393.5,17110.5,0.15,4,4.30045
0,22,6,2,11,4,14523.7,23403.5,0.15,4,4.08899
0,22,7,3,2,4,20143,17110.5,0.15,4,5.15238
0,22,8,3,4,2,16956.8,17782.8,0.15,4,2.24803
0,22,9,3,10,6,4002.46,4908.83,0.15,4,6.39778
0,22,10,4,3,2,20999,17782.8,0.15,4,2.58333
0,22,11,4,5,4,3.0025e-10,1e-10,0.15,4,52.7624
0,22,12,4,8,5,20054.3,10000,0.15,4,17.1309
0,22,13,5,1,5,6135.58,4958.18,0.15,4,6.7587
0,22,14,5,4,4,8428.45,4948,0.15,4,9.05156
0,22,15,5,7,2,12504.5,4898.59,0.15,4,14.7379
0,22,16,6,7,3,14073.5,7841.81,0.15,4,7.66826
0,22,17,6,17,2,15128.3,23403.5,0.15,4,2.05238
0,22,18,7,5,2,14498.3,4898.59,0.15,4,25.0203
0,22,19,7,6,3,13658.1,7841.81,0.15,4,7.14099
0,22,20,7,8,10,8979.51,5050.19,0.15,4,24.9924
0,22,21,7,15,5,9030.63,5045.82,0.15,4,12.6949
0,22,22,8,4,5,15668.1,10000,0.15,4,9.51982
0,22,23,8,7,10,10526,5050.19,0.15,4,38.3085
0,22,24,8,9,3,24408.3,13915.8,0.15,4,7.25923
0,22,25,9,8,3,21668.5,13915.8,0.15,4,5.64545
0,22,26,9,10,5,16165.8,10000,0.15,4,10.1221
0,22,27,9,14,6,24784.4,13512,0.15,4,16.1878
0,22,28,9,15,4,13875,4854.92,0.15,4,44.0269
0,22,29,9,16,8,12739.9,4993.51,0.15,4,58.8419
0,22,30,10,3,6,5809.75,4908.83,0.15,4,7.76588
0,22,31,10,9,5,21418.9,10000,0.15,4,20.7853
0,22,32,10,11,6,9144.39,4908.83,0.15,4,16.8381
0,22,33,10,13,4,3.27305e-10,1e-10,0.15,4,72.859
0,22,34,11,2,4,15208.8,23403.5,0.15,4,4.10701
0,22,35,11,10,6,8503.31,4908.83,0.15,4,14.1037
0,22,36,11,12,3,18092.5,25900.2,0.15,4,3.10715
0,22,37,12,11,3,18236.5,25900.2,0.15,4,3.1106
0,22,38,12,23,4,12764.2,5091.26,0.15,4,27.7046
0,22,39,13,10,4,7801.52,4876.51,0.15,4,7.93035
0,22,40,13,14,5,10055.8,5127.53,0.15,4,16.0942
0,22,41,13,22,4,7163.58,4924.79,0.15,4,6.68609
0,22,42,14,9,6,22094.2,13512,0.15,4,12.4339
0,22,43,14,13,5,11658.6,5127.53,0.15,4,25.0452
0,22,44,14,18,3,3.84808e-10,1e-10,0.15,4,101.671
0,22,45,14,21,3,18147.6,9599.18,0.15,4,8.74843
0,22,46,15,7,5,9062.55,5045.82,0.15,4,12.8043
0,22,47,15,9,4,12927,4854.92,0.15,4,34.159
0,22,48,15,16,2,14660.5,5229.91,0.15,4,20.5241
0,22,49,15,17,3,18495,19679.9,0.15,4,3.35103
0,22,50,16,9,8,8285.2,4993.51,0.15,4,17.0943
0,22,51,16,15,2,11096.6,5229.91,0.15,4,8.08007
0,22,52,16,18,2,11607.5,4823.95,0.15,4,12.0569
0,22,53,17,6,2,15543.7,23403.5,0.15,4,2.05837
0,22,54,17,15,3,21142.9,19679.9,0.15,4,3.59948
0,22,55,17,19,4,21983.7,23403.5,0.15,4,4.46712
0,22,56,18,14,3,16960.1,14564.8,0.15,4,3.82739
0,22,57,18,16,2,3588.94,4823.95,0.15,4,2.09191
0,22,58,18,19,4,3466.96,5002.61,0.15,4,4.13841
0,22,59,19,17,4,24946.9,23403.5,0.15,4,4.77463
0,22,60,19,18,4,12408.5,5002.61,0.15,4,26.7113
0,22,61,19,20,6,6622.56,5059.91,0.15,4,8.64104
0,22,62,19,21,5,7582.5,5075.7,0.15,4,8.73533
0,22,63,20,19,6,12259.4,5059.91,0.15,4,37.0137
0,22,64,20,21,2,3982.87,5229.91,0.15,4,2.10091
0,22,65,20,23,3,11702.2,4885.36,0.15,4,17.8151
0,22,66,21,14,3,3.59911e-10,1e-10,0.15,4,78.508
0,22,67,21,19,5,13750.4,5075.7,0.15,4,45.3962
0,22,68,21,20,2,11384.6,5229.91,0.15,4,8.73622
0,22,69,21,22,4,11884.3,5000,0.15,4,23.1497
0,22,70,22,13,4,13362.3,4924.79,0.15,4,36.5184
0,22,71,22,21,4,7306.35,5000,0.15,4,6.73573
0,22,72,22,23,2,8148.02,5078.51,0.15,4,3.98786
0,22,73,23,12,4,12808.3,5091.26,0.15,4,28.0333
0,22,74,23,20,3,9937.39,4885.36,0.15,4,10.704
0,22,75,23,22,2,9768.84,5078.51,0.15,4,6.10723
0,44,0,0,1,6,11875.4,25900.2,0.15,4,6.03978
0,44,1,0,2,4,9860.22,23403.5,0.15,4,4.0189
0,44,2,1,0,6,6255.82,25900.2,0.15,4,6.00306
0,44,3,1,5,5,10990.4,4958.18,0.15,4,23.1061
0,44,4,2,0,4,15479.8,23403.5,0.15,4,4.11484
0,44,5,2,3,4,14415.4,17110.5,0.15,4,4.30227
0,44,6,2,11,4,14641.7,23403.5,0.15,4,4.09192
0,44,7,3,2,4,19914.8,17110.5,0.15,4,5.10103
0,44,8,3,4,2,16658.3,17782.8,0.15,4,2.23102
0,44,9,3,10,6,3928.14,4908.83,0.15,4,6.36905
0,44,10,4,3,2,20496.1,17782.8,0.15,4,2.52943
0,44,11,4,5,4,3.58588e-10,1e-10,0.15,4,103.206
0,44,12,4,8,5,19713.2,10000,0.15,4,16.3264
0,44,13,5,1,5,5370.83,4958.18,0.15,4,6.03262
0,44,14,5,4,4,8113.76,4948,0.15,4,8.33833
0,44,15,5,7,2,11876.1,4898.59,0.15,4,12.3643
0,44,16,6,7,3,14154.6,7841.81,0.15,4,7.77681
0,44,17,6,17,2,14672.1,23403.5,0.15,4,2.04634
0,44,18,7,5,2,14370.3,4898.59,0.15,4,24.218
0,44,19,7,6,3,12413.6,7841.81,0.15,4,5.82581
0,44,20,7,8,10,8793.94,5050.19,0.15,4,23.7909
0,44,21,7,15,5,8568.06,5045.82,0.15,4,11.2354
0,44,22,8,4,5,15437.3,10000,0.15,4,9.25938
0,44,23,8,7,10,9064.57,5050.19,0.15,4,25.5686
0,44,24,8,9,3,24900,13915.8,0.15,4,7.61298
0,44,25,9,8,3,20994.7,13915.8,0.15,4,5.33144
0,44,26,9,10,5,15759.4,10000,0.15,4,9.62614
0,44,27,9,14,6,28510.5,13512,0.15,4,23.8396
0,44,28,9,15,4,12326.8,4854.92,0.15,4,28.9359
0,44,29,9,16,8,8722.32,4993.51,0.15,4,19.1708
0,44,30,10,3,6,5689.73,4908.83,0.15,4,7.62442
0,44,31,10,9,5,21212.2,10000,0.15,4,20.1845
0,44,32,10,11,6,9113.06,4908.83,0.15,4,16.6903
0,44,33,10,13,4,3.20423e-10,1e-10,0.15,4,67.2482
0,44,34,11,2,4,14761.9,23403.5,0.15,4,4.09497
0,44,35,11,10,6,8476.98,4908.83,0.15,4,14.0038
0,44,36,11,12,3,17940.8,25900.2,0.15,4,3.1036
0,44,37,12,11,3,17524.9,25900.2,0.15,4,3.09432
0,44,38,12,23,4,13066,5091.26,0.15,4,30.0266
0,44,39,13,10,4,7950.42,4876.51,0.15,4,8.23913
0,44,40,13,14,5,10642.6,5127.53,0.15,4,18.9194
0,44,41,13,22,4,4700.95,4924.79,0.15,4,4.49813
0,44,42,14,9,6,18912.9,13512,0.15,4,9.45461
0,44,43,14,13,5,10772.8,5127.53,0.15,4,19.6129
0,44,44,14,18,3,15003.7,14564.8,0.15,4,3.50676
0,44,45,14,21,3,16331.7,9599.18,0.15,4,6.77052
0,44,46,15,7,5,9050.65,5045.82,0.15,4,12.7634
0,44,47,15,9,4,12848,4854.92,0.15,4,33.4287
0,44,48,15,16,2,14491.5,5229.91,0.15,4,19.6846
0,44,49,15,17,3,16094.7,19679.9,0.15,4,3.2013
0,44,50,16,9,8,8340.61,4993.51,0.15,4,17.3401
0,44,51,16,15,2,12043.2,5229.91,0.15,4,10.4354
0,44,52,16,18,2,10630.7,4823.95,0.15,4,9.07554
0,44,53,17,6,2,16413,23403.5,0.15,4,2.07257
0,44,54,17,15,3,19546.8,19679.9,0.15,4,3.43795
0,44,55,17,19,4,19661.3,23403.5,0.15,4,4.29887
0,44,56,18,14,3,21768,14564.8,0.15,4,5.2453
0,44,57,18,16,2,7800.7,4823.95,0.15,4,4.05137
0,44,58,18,19,4,8582.81,5002.61,0.15,4,9.19857
0,44,59,19,17,4,24754.4,23403.5,0.15,4,4.751
0,44,60,19,18,4,12517.1,5002.61,0.15,4,27.5166
0,44,61,19,20,6,7140.76,5059.91,0.15,4,9.56983
0,44,62,19,21,5,7118.83,5075.7,0.15,4,7.9021
0,44,63,20,19,6,10801.2,5059.91,0.15,4,24.6877
0,44,64,20,21,2,5311.83,5229.91,0.15,4,2.31924
0,44,65,20,23,3,10666.5,4885.36,0.15,4,13.2261
0,44,66,21,14,3,3.418e-10,1e-10,0.15,4,64.4184
0,44,67,21,19,5,12385.8,5075.7,0.15,4,31.5932
0,44,68,21,20,2,10637.4,5229.91,0.15,4,7.13427
0,44,69,21,22,4,10837.8,5000,0.15,4,17.2446
0,44,70,22,13,4,12521.2,4924.79,0.15,4,29.0718
0,44,71,22,21,4,5098.58,5000,0.15,4,4.64874
0,44,72,22,23,2,7561.12,5078.51,0.15,4,3.47408
0,44,73,23,12,4,12550,5091.26,0.15,4,26.153
0,44,74,23,20,3,9001.38,4885.36,0.15,4,8.18636
0,44,75,23,22,2,9642.15,5078.51,0.15,4,5.89827
0,66,0,0,1,6,10566.3,25900.2,0.15,4,6.02493
0,66,1,0,2,4,7758.67,23403.5,0.15,4,4.00725
0,66,2,1,0,6,4515.46,25900.2,0.15,4,6.00083
0,66,3,1,5,5,10454.7,4958.18,0.15,4,19.8259
0,66,4,2,0,4,13809.5,23403.5,0.15,4,4.07273
0,66,5,2,3,4,11525.7,17110.5,0.15,4,4.12353
0,66,6,2,11,4,12303.9,23403.5,0.15,4,4.04584
0,66,7,3,2,4,18854.9,17110.5,0.15,4,4.8847
0,66,8,3,4,2,15248.5,17782.8,0.15,4,2.16219
0,66,9,3,10,6,3364.58,4908.83,0.15,4,6.19863
0,66,10,4,3,2,20152.4,17782.8,0.15,4,2.4948
0,66,11,4,5,4,3.48443e-10,1e-10,0.15,4,92.4463
0,66,12,4,8,5,18347.7,10000,0.15,4,13.4994
0,66,13,5,1,5,4403.89,4958.18,0.15,4,5.46678
0,66,14,5,4,4,7608.21,4948,0.15,4,7.35401
0,66,15,5,7,2,11948.4,4898.59,0.15,4,12.6189
0,66,16,6,7,3,12418.5,7841.81,0.15,4,5.83026
0,66,17,6,17,2,16348.2,23403.5,0.15,4,2.07143
0,66,18,7,5,2,13505.8,4898.59,0.15,4,19.3348
0,66,19,7,6,3,12855.2,7841.81,0.15,4,6.24989
0,66,20,7,8,10,7494.7,5050.19,0.15,4,17.2757
0,66,21,7,15,5,8044.93,5045.82,0.15,4,9.84643
0,66,22,8,4,5,15643.4,10000,0.15,4,9.49142
0,66,23,8,7,10,9034.49,5050.19,0.15,4,25.3629
0,66,24,8,9,3,23114.1,13915.8,0.15,4,6.42523
0,66,25,9,8,3,22049.6,13915.8,0.15,4,5.8365
0,66,26,9,10,5,16262.3,10000,0.15,4,10.2455
0,66,27,9,14,6,28214.4,13512,0.15,4,23.1098
0,66,28,9,15,4,12293.3,4854.92,0.15,4,28.6656
0,66,29,9,16,8,8851.7,4993.51,0.15,4,19.8485
0,66,30,10,3,6,5889.88,4908.83,0.15,4,7.86534
0,66,31,10,9,5,20110.3,10000,0.15,4,17.267
0,66,32,10,11,6,9011.73,4908.83,0.15,4,16.2227
0,66,33,10,13,4,3.1529e-10,1e-10,0.15,4,63.2918
0,66,34,11,2,4,11025.5,23403.5,0.15,4,4.02956
0,66,35,11,10,6,8082.46,4908.83,0.15,4,12.6146
0,66,36,11,12,3,15928.9,25900.2,0.15,4,3.06438
0,66,37,12,11,3,13821.2,25900.2,0.15,4,3.03649
0,66,38,12,23,4,13350.5,5091.26,0.15,4,32.3688
0,66,39,13,10,4,7402.64,4876.51,0.15,4,7.18613
0,66,40,13,14,5,7094.01,5127.53,0.15,4,7.74787
0,66,41,13,22,4,5665.5,4924.79,0.15,4,5.05088
0,66,42,14,9,6,24772.5,13512,0.15,4,16.1682
0,66,43,14,13,5,10766.7,5127.53,0.15,4,19.58
0,66,44,14,18,3,18080,14564.8,0.15,4,4.06854
0,66,45,14,21,3,18495,9599.18,0.15,4,9.20148
0,66,46,15,7,5,8499.23,5045.82,0.15,4,11.0374
0,66,47,15,9,4,11472.2,4854.92,0.15,4,22.7072
0,66,48,15,16,2,11521,5229.91,0.15,4,9.0649
0,66,49,15,17,3,16135.8,19679.9,0.15,4,3.20337
0,66,50,16,9,8,8102.06,4993.51,0.15,4,16.3165
0,66,51,16,15,2,11723.4,5229.91,0.15,4,9.57459
0,66,52,16,18,2,10247.6,4823.95,0.15,4,8.10943
0,66,53,17,6,2,15911.4,23403.5,0.15,4,2.0641
0,66,54,17,15,3,15566.6,19679.9,0.15,4,3.17615
0,66,55,17,19,4,20773.2,23403.5,0.15,4,4.37243
0,66,56,18,14,3,18803.8,14564.8,0.15,4,4.25022
0,66,57,18,16,2,9700.36,4823.95,0.15,4,6.90526
0,66,58,18,19,4,8638.56,5002.61,0.15,4,9.33495
0,66,59,19,17,4,19667.3,23403.5,0.15,4,4.29923
0,66,60,19,18,4,8815.2,5002.61,0.15,4,9.78488
0,66,61,19,20,6,6656.2,5059.91,0.15,4,8.69511
0,66,62,19,21,5,7499.11,5075.7,0.15,4,8.5737
0,66,63,20,19,6,5959.94,5059.91,0.15,4,7.73235
0,66,64,20,21,2,9229.43,5229.91,0.15,4,4.90967
0,66,65,20,23,3,10684.3,4885.36,0.15,4,13.2946
0,66,66,21,14,3,17901.9,9599.18,0.15,4,8.44347
0,66,67,21,19,5,7166.13,5075.7,0.15,4,7.98
0,66,68,21,20,2,8992.37,5229.91,0.15,4,4.62205
0,66,69,21,22,4,10432.8,5000,0.15,4,15.3729
0,66,70,22,13,4,9395.47,4924.79,0.15,4,11.9483
0,66,71,22,21,4,9269.66,5000,0.15,4,11.088
0,66,72,22,23,2,6823.38,5078.51,0.15,4,2.97763
0,66,73,23,12,4,11142.9,5091.26,0.15,4,17.7669
0,66,74,23,20,3,10225.1,4885.36,0.15,4,11.6356
0,66,75,23,22,2,9390.22,5078.51,0.15,4,5.50655
0,33,0,0,1,6,9710.05,25900.2,0.15,4,6.01778
0,33,1,0,2,4,8200,23403.5,0.15,4,4.00904
0,33,2,1,0,6,4600,25900.2,0.15,4,6.0009
0,33,3,1,5,5,9510.05,4958.18,0.15,4,15.1508
0,33,4,2,0,4,13310,23403.5,0.15,4,4.06277
0,33,5,2,3,4,11215.9,17110.5,0.15,4,4.11077
0,33,6,2,11,4,10221,23403.5,0.15,4,4.02183
0,33,7,3,2,4,16921,17110.5,0.15,4,4.57386
0,33,8,3,4,2,14007.1,17782.8,0.15,4,2.11548
0,33,9,3,10,6,5417.8,4908.83,0.15,4,7.33544
0,33,10,4,3,2,20030.1,17782.8,0.15,4,2.48289
0,33,11,4,5,4,3.33489e-10,1e-10,0.15,4,78.2123
0,33,12,4,8,5,16985.8,10000,0.15,4,11.2432
0,33,13,5,1,5,4400,4958.18,0.15,4,5.46514
0,33,14,5,4,4,7647.36,4948,0.15,4,7.42357
0,33,15,5,7,2,10748.8,4898.59,0.15,4,8.95458
0,33,16,6,7,3,12414.6,7841.81,0.15,4,5.82668
0,33,17,6,17,2,15648.8,23403.5,0.15,4,2.05997
0,33,18,7,5,2,13286.1,4898.59,0.15,4,18.2339
0,33,19,7,6,3,11748.8,7841.81,0.15,4,5.26733
0,33,20,7,8,10,7333.59,5050.19,0.15,4,16.67
0,33,21,7,15,5,7277.45,5045.82,0.15,4,8.24526
0,33,22,8,4,5,15361.4,10000,0.15,4,9.17627
0,33,23,8,7,10,8377.45,5050.19,0.15,4,21.3581
0,33,24,8,9,3,22514.7,13915.8,0.15,4,6.0835
0,33,25,9,8,3,22034.1,13915.8,0.15,4,5.82856
0,33,26,9,10,5,17724.1,10000,0.15,4,12.4015
0,33,27,9,14,6,23649,13512,0.15,4,14.4452
0,33,28,9,15,4,11573.7,4854.92,0.15,4,23.3781
0,33,29,9,16,8,8100,4993.51,0.15,4,16.308
0,33,30,10,3,6,5200,4908.83,0.15,4,7.1333
0,33,31,10,9,5,17998.2,10000,0.15,4,12.87
0,33,32,10,11,6,8313.11,4908.83,0.15,4,13.4026
0,33,33,10,13,4,9938.65,4876.51,0.15,4,14.352
0,33,34,11,2,4,9625.91,23403.5,0.15,4,4.01717
0,33,35,11,10,6,8628.82,4908.83,0.15,4,14.5928
0,33,36,11,12,3,12627.8,25900.2,0.15,4,3.02543
0,33,37,12,11,3,12448.4,25900.2,0.15,4,3.02401
0,33,38,12,23,4,11312.5,5091.26,0.15,4,18.6247
0,33,39,13,10,4,9779.19,4876.51,0.15,4,13.7035
0,33,40,13,14,5,9196.63,5127.53,0.15,4,12.7615
0,33,41,13,22,4,8427.23,4924.79,0.15,4,9.14445
0,33,42,14,9,6,23168.1,13512,0.15,4,13.779
0,33,43,14,13,5,9065.61,5127.53,0.15,4,12.3286
0,33,44,14,18,3,20132.8,14564.8,0.15,4,4.64292
0,33,45,14,21,3,18381.8,9599.18,0.15,4,9.05095
0,33,46,15,7,5,8105.06,5045.82,0.15,4,9.99296
0,33,47,15,9,4,11200,4854.92,0.15,4,20.9939
0,33,48,15,16,2,11675.2,5229.91,0.15,4,9.45089
0,33,49,15,17,3,14414.2,19679.9,0.15,4,3.1295
0,33,50,16,9,8,8100,4993.51,0.15,4,16.308
0,33,51,16,15,2,11744.8,5229.91,0.15,4,9.63005
0,33,52,16,18,2,9955.2,4823.95,0.15,4,7.44138
0,33,53,17,6,2,16314.6,23403.5,0.15,4,2.07084
0,33,54,17,15,3,14798.6,19679.9,0.15,4,3.14388
0,33,55,17,19,4,18438.3,23403.5,0.15,4,4.23116
0,33,56,18,14,3,19531.9,14564.8,0.15,4,4.45538
0,33,57,18,16,2,10024.8,4823.95,0.15,4,7.59506
0,33,58,18,19,4,9418.57,5002.61,0.15,4,11.5389
0,33,59,19,17,4,19388.5,23403.5,0.15,4,4.28262
0,33,60,19,18,4,8887.21,5002.61,0.15,4,9.97623
0,33,61,19,20,6,6302.53,5059.91,0.15,4,8.16636
0,33,62,19,21,5,7084.66,5075.7,0.15,4,7.84678
0,33,63,20,19,6,6375.73,5059.91,0.15,4,8.26877
0,33,64,20,21,2,8607.37,5229.91,0.15,4,4.20103
0,33,65,20,23,3,10245.4,4885.36,0.15,4,11.7046
0,33,66,21,14,3,18270.8,9599.18,0.15,4,8.90612
0,33,67,21,19,5,7330.3,5075.7,0.15,4,8.26261
0,33,68,21,20,2,8532.79,5229.91,0.15,4,4.12573
0,33,69,21,22,4,9656.04,5000,0.15,4,12.3458
0,33,70,22,13,4,8398.79,4924.79,0.15,4,9.07535
0,33,71,22,21,4,9716.11,5000,0.15,4,12.5554
0,33,72,22,23,2,7830.55,5078.51,0.15,4,3.69569
0,33,73,23,12,4,11033.1,5091.26,0.15,4,17.2325
0,33,74,23,20,3,10393.2,4885.36,0.15,4,12.2178
0,33,75,23,22,2,7862.17,5078.51,0.15,4,3.72325
0,11,0,0,1,6,4634.57,25900.2,0.15,4,6.00092
0,11,1,0,2,4,8202.8,23403.5,0.15,4,4.00905
0,11,2,1,0,6,4602.8,25900.2,0.15,4,6.0009
0,11,3,1,5,5,6101.26,4958.18,0.15,4,6.71969
0,11,4,2,0,4,8234.57,23403.5,0.15,4,4.0092
0,11,5,2,3,4,14029.6,17110.5,0.15,4,4.27119
0,11,6,2,11,4,10146.9,23403.5,0.15,4,4.0212
0,11,7,3,2,4,14077.4,17110.5,0.15,4,4.27491
0,11,8,3,4,2,18029.6,17782.8,0.15,4,2.31701
0,11,9,3,10,6,5200,4908.83,0.15,4,7.1333
0,11,10,4,3,2,18077.4,17782.8,0.15,4,2.32038
0,11,11,4,5,4,8706.39,4948,0.15,4,9.75158
0,11,12,4,8,5,15831.5,10000,0.15,4,9.71136
0,11,13,5,1,5,6069.49,4958.18,0.15,4,6.68415
0,11,14,5,4,4,8754.26,4948,0.15,4,9.87911
0,11,15,5,7,2,12541,4898.59,0.15,4,14.8873
0,11,16,6,7,3,12110.4,7841.81,0.15,4,5.55964
0,11,17,6,17,2,15907.7,23403.5,0.15,4,2.06404
0,11,18,7,5,2,12557.1,4898.59,0.15,4,14.9536
0,11,19,7,6,3,12207.7,7841.81,0.15,4,5.64287
0,11,20,7,8,10,6866.65,5050.19,0.15,4,15.1267
0,11,21,7,15,5,8325.6,5045.82,0.15,4,10.559
0,11,22,8,4,5,15831.4,10000,0.15,4,9.71133
0,11,23,8,7,10,6892.3,5050.19,0.15,4,15.2037
0,11,24,8,9,3,21741.2,13915.8,0.15,4,5.68112
0,11,25,9,8,3,21866.8,13915.8,0.15,4,5.74363
0,11,26,9,10,5,17758.4,10000,0.15,4,12.4589
0,11,27,9,14,6,23075.2,13512,0.15,4,13.655
0,11,28,9,15,4,11029.7,4854.92,0.15,4,19.9835
0,11,29,9,16,8,8100,4993.51,0.15,4,16.308
0,11,30,10,3,6,5300,4908.83,0.15,4,7.22302
0,11,31,10,9,5,17608.3,10000,0.15,4,12.2099
0,11,32,10,11,6,8327.95,4908.83,0.15,4,13.4556
0,11,33,10,13,4,9790.44,4876.51,0.15,4,13.7482
0,11,34,11,2,4,10130.9,23403.5,0.15,4,4.02107
0,11,35,11,10,6,8356.15,4908.83,0.15,4,13.5571
0,11,36,11,12,3,12468.4,25900.2,0.15,4,3.02417
0,11,37,12,11,3,12580.5,25900.2,0.15,4,3.02505
0,11,38,12,23,4,11071.4,5091.26,0.15,4,17.4173
0,11,39,13,10,4,9812.21,4876.51,0.15,4,13.8352
0,11,40,13,14,5,8998.1,5127.53,0.15,4,12.1127
